Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Stone shape (product.metafields.shopify.stone-shape),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
statement-256-diamond-bracelet-in-14k-gold-with-igi-certification-elegant-fine-jewelry-in-white-rose-yellow-gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/GLBR-0052-01_W-_viwe4.png?v=1763826483,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
statement-256-diamond-bracelet-in-14k-gold-with-igi-certification-elegant-fine-jewelry-in-white-rose-yellow-gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/GLBR-0052-01_Y-_viwe1.png?v=1763826483,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
statement-256-diamond-bracelet-in-14k-gold-with-igi-certification-elegant-fine-jewelry-in-white-rose-yellow-gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/GLBR-0052-01_R-_viwe1.png?v=1763826483,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luxury-5-50-carat-diamond-bracelet-in-14k-gold-144-round-diamonds-igi-certified-white-yellow-rose-gold,"Luxury 5.50 Carat Diamond Bracelet in 14K Gold – 144 Round Diamonds | IGI Certified | White, Yellow & Rose Gold","<p data-start=""307"" data-end=""459"">Add timeless elegance to your jewelry collection with this breathtaking <strong data-start=""379"" data-end=""406"">luxury diamond bracelet</strong>, expertly crafted for brilliance and sophistication.</p>
<p data-start=""461"" data-end=""806"">This exquisite bracelet features a stunning <strong data-start=""505"" data-end=""540"">5.50 carat total diamond weight</strong>, set with <strong data-start=""551"" data-end=""587"">144 sparkling round-cut diamonds</strong> that deliver exceptional fire and shine from every angle. The diamonds are carefully mounted in premium <strong data-start=""692"" data-end=""704"">14K gold</strong>, offering durability, comfort, and a refined finish perfect for everyday luxury or special occasions.</p>
<p data-start=""808"" data-end=""1044"">Available in <strong data-start=""821"" data-end=""863"">White Gold, Yellow Gold, and Rose Gold</strong>, this bracelet complements every style and skin tone. Each piece comes with an <strong data-start=""943"" data-end=""962"">IGI Certificate</strong>, guaranteeing authenticity and quality, so you can shop with complete confidence.</p>
<p data-start=""1046"" data-end=""1207"">Whether you're gifting someone special or indulging in a statement piece for yourself, this diamond bracelet is a symbol of grace, prestige, and timeless beauty.</p>
<h2 data-start=""1214"" data-end=""1232"">🔍 Key Features</h2>
<p data-start=""1236"" data-end=""1272"">Total Diamond Weight: <strong data-start=""1258"" data-end=""1272"">5.50 Carat</strong></p>
<p data-start=""1275"" data-end=""1302"">Number of Diamonds: <strong data-start=""1295"" data-end=""1302"">144</strong></p>
<p data-start=""1305"" data-end=""1343"">Diamond Shape: <strong data-start=""1320"" data-end=""1343"">Round Brilliant Cut</strong></p>
<p data-start=""1346"" data-end=""1374"">Gold Weight: <strong data-start=""1359"" data-end=""1374"">15.50 grams</strong></p>
<p data-start=""1377"" data-end=""1397"">Gold Purity: <strong data-start=""1390"" data-end=""1397"">14K</strong></p>
<p data-start=""1400"" data-end=""1458"">Available Colors: <strong data-start=""1418"" data-end=""1458"">White Gold | Yellow Gold | Rose Gold</strong></p>
<p data-start=""1461"" data-end=""1493"">Certification: <strong data-start=""1476"" data-end=""1493"">IGI Certified</strong></p>
<p data-start=""1461"" data-end=""1493"">Ideal for: Weddings, Anniversaries, Parties &amp; Luxury Wear</p>",Surat Diamond,Apparel & Accessories > Jewelry > Bracelets,"","14k_bracelet, 18k_bracelet, Gift_for_her, white_gold_bracelet",true,Metal,rose-gold,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,10,deny,manual,3899.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0921/1261/7815/files/GLBR-0053-01_W-_viwe1.png?v=1763824474,1,"",false,,,191,,adult,,,,,,,,,,,adults,bangle,rose-gold; yellow-gold; silver,,gold; diamond,fine-jewelry,,,,female,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/GLBR-0053-01_R-_viwe1.png?v=1763824474,g,,,active
luxury-5-50-carat-diamond-bracelet-in-14k-gold-144-round-diamonds-igi-certified-white-yellow-rose-gold,,,,,,,,,yellow-gold,,,,,,,,,0.0,shopify,10,deny,manual,3899.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0921/1261/7815/files/GLBR-0053-01_W-_viwe2.png?v=1763824474,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/GLBR-0053-01_Y-_viwe1.png?v=1763824474,g,,,
luxury-5-50-carat-diamond-bracelet-in-14k-gold-144-round-diamonds-igi-certified-white-yellow-rose-gold,,,,,,,,,silver,,,,,,,,,0.0,shopify,10,deny,manual,3899.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0921/1261/7815/files/GLBR-0053-01_W-_viwe3.png?v=1763824474,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/GLBR-0053-01_W-_viwe1.png?v=1763824474,g,,,
luxury-5-50-carat-diamond-bracelet-in-14k-gold-144-round-diamonds-igi-certified-white-yellow-rose-gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/GLBR-0053-01_W-_viwe4.png?v=1763824474,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luxury-5-50-carat-diamond-bracelet-in-14k-gold-144-round-diamonds-igi-certified-white-yellow-rose-gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/GLBR-0053-01_Y-_viwe1.png?v=1763824474,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luxury-5-50-carat-diamond-bracelet-in-14k-gold-144-round-diamonds-igi-certified-white-yellow-rose-gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/GLBR-0053-01_R-_viwe1.png?v=1763824474,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eternal-radiance-14k-gold-radiant-cut-solitaire-diamond-ring-1-3-carat,Eternal Radiance — 14K Gold Radiant Cut Solitaire Diamond Ring (1–3 Carat),"<p data-start=""321"" data-end=""451"">Shine brighter than ever with our <strong data-start=""355"" data-end=""398"">Eternal Radiance Solitaire Diamond Ring</strong>, a masterpiece of pure elegance and timeless love.</p>
<p data-start=""453"" data-end=""809"">At its heart lies a mesmerizing <strong data-start=""485"" data-end=""508"">Radiant Cut Diamond</strong>, available from <strong data-start=""525"" data-end=""542"">1 to 3 carats</strong>, certified by <strong data-start=""557"" data-end=""564"">IGI</strong> for unmatched brilliance and authenticity. The diamond’s dazzling fire is gracefully embraced by a sleek <strong data-start=""670"" data-end=""687"">14K gold band</strong> — crafted in your choice of <strong data-start=""716"" data-end=""757"">Yellow Gold, White Gold, or Rose Gold</strong> — weighing approximately <strong data-start=""783"" data-end=""796"">2.5 grams</strong> of luxury.</p>
<p data-start=""811"" data-end=""1003"">Simple, stunning, and forever elegant — this ring is more than jewelry; it’s a promise that never fades. Perfect for engagements, anniversaries, or a love that deserves nothing but the best.</p>
<h3 data-start=""1010"" data-end=""1043""><strong data-start=""1014"" data-end=""1041"">✨ Features You’ll Love:</strong></h3>
<p data-start=""1046"" data-end=""1106"">💎 <strong data-start=""1049"" data-end=""1073"">Radiant Cut Diamond:</strong> 1.00–3.00 Carat (customizable)</p>
<p data-start=""1109"" data-end=""1151"">🪶 <strong data-start=""1112"" data-end=""1131"">14K Solid Gold:</strong> Approx. 2.5 grams</p>
<p data-start=""1154"" data-end=""1211"">🌈 <strong data-start=""1157"" data-end=""1174"">Available In:</strong> Yellow Gold, White Gold, Rose Gold</p>
<p data-start=""1214"" data-end=""1255"">📜 <strong data-start=""1217"" data-end=""1231"">Certified:</strong> IGI Certified Diamond</p>
<p data-start=""1258"" data-end=""1301"">🔒 <strong data-start=""1261"" data-end=""1273"">Setting:</strong> Elegant 4-Prong Solitaire</p>
<p data-start=""1304"" data-end=""1358"">💖 <strong data-start=""1307"" data-end=""1317"">Style:</strong> Modern, Minimalist, and Eternally Chic</p>",Surat Diamond,Apparel & Accessories > Jewelry > Rings,"","",true,Metal,rose-gold,product.metafields.shopify.color-pattern,Carat,1,,,,,,0.0,shopify,10,deny,manual,899.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0921/1261/7815/files/113_4.jpg?v=1761181153,1,"",false,,,,,,,,,,,,,,,,adults,,rose-gold; yellow-gold; silver,,gold,fine-jewelry,band; solitaire,,,female,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/113_3.jpg?v=1761181153,g,,,active
eternal-radiance-14k-gold-radiant-cut-solitaire-diamond-ring-1-3-carat,,,,,,,,,rose-gold,,,2,,,,,,0.0,shopify,10,deny,manual,1099.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0921/1261/7815/files/113_7.jpg?v=1761181153,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/113_3.jpg?v=1761181153,g,,,
eternal-radiance-14k-gold-radiant-cut-solitaire-diamond-ring-1-3-carat,,,,,,,,,rose-gold,,,3,,,,,,0.0,shopify,10,deny,manual,1299.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0921/1261/7815/files/113_8.jpg?v=1761181153,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/113_3.jpg?v=1761181153,g,,,
eternal-radiance-14k-gold-radiant-cut-solitaire-diamond-ring-1-3-carat,,,,,,,,,yellow-gold,,,1,,,,,,0.0,shopify,10,deny,manual,899.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0921/1261/7815/files/113_2.jpg?v=1761181153,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/113_2.jpg?v=1761181153,g,,,
eternal-radiance-14k-gold-radiant-cut-solitaire-diamond-ring-1-3-carat,,,,,,,,,yellow-gold,,,2,,,,,,0.0,shopify,10,deny,manual,1099.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0921/1261/7815/files/113_3.jpg?v=1761181153,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/113_2.jpg?v=1761181153,g,,,
eternal-radiance-14k-gold-radiant-cut-solitaire-diamond-ring-1-3-carat,,,,,,,,,yellow-gold,,,3,,,,,,0.0,shopify,10,deny,manual,1299.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/113_2.jpg?v=1761181153,g,,,
eternal-radiance-14k-gold-radiant-cut-solitaire-diamond-ring-1-3-carat,,,,,,,,,silver,,,1,,,,,,0.0,shopify,10,deny,manual,899.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/113_4.jpg?v=1761181153,g,,,
eternal-radiance-14k-gold-radiant-cut-solitaire-diamond-ring-1-3-carat,,,,,,,,,silver,,,2,,,,,,0.0,shopify,10,deny,manual,1099.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/113_4.jpg?v=1761181153,g,,,
eternal-radiance-14k-gold-radiant-cut-solitaire-diamond-ring-1-3-carat,,,,,,,,,silver,,,3,,,,,,0.0,shopify,10,deny,manual,1299.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/113_4.jpg?v=1761181153,g,,,
3-carat-pear-cut-diamond-pendant-necklace-in-14k-gold-with-igi-certification-white-yellow-rose-gold,"3 Carat Pear Cut Diamond Pendant Necklace in 14K Gold with IGI Certification – White, Yellow & Rose Gold","<p data-start=""312"" data-end=""560"">Add timeless brilliance to your jewellery collection with this <strong data-start=""373"" data-end=""418"">3 Carat Pear Cut Diamond Pendant Necklace</strong>, crafted in <strong data-start=""431"" data-end=""449"">14K solid gold</strong>. Each pendant showcases a stunning pear-shaped diamond that reflects exceptional sparkle and sophistication.</p>
<p data-start=""562"" data-end=""743"">This exquisite piece comes with a <strong data-start=""596"" data-end=""617"">3-gram gold chain</strong> and is available in <strong data-start=""638"" data-end=""679"">White Gold, Yellow Gold, or Rose Gold</strong>, allowing you to choose the perfect tone to match your style.</p>
<p data-start=""745"" data-end=""904"">For your peace of mind and assurance of quality, every diamond is <strong data-start=""811"" data-end=""828"">IGI Certified</strong>, guaranteeing authenticity, superior craftsmanship, and ethical sourcing.</p>
<p data-start=""906"" data-end=""928""><strong data-start=""906"" data-end=""926"">Product Details:</strong></p>
<p data-start=""931"" data-end=""960""><strong data-start=""931"" data-end=""950"">Diamond Weight:</strong> 3 Carat</p>
<p data-start=""963"" data-end=""1002""><strong data-start=""963"" data-end=""979"">Gold Weight:</strong> 3 Grams (with chain)</p>
<p data-start=""1005"" data-end=""1038""><strong data-start=""1005"" data-end=""1021"">Gold Purity:</strong> 14K Solid Gold</p>
<p data-start=""1041"" data-end=""1099""><strong data-start=""1041"" data-end=""1062"">Available Colors:</strong> White Gold, Yellow Gold, Rose Gold</p>
<p data-start=""1102"" data-end=""1131""><strong data-start=""1102"" data-end=""1120"">Diamond Shape:</strong> Pear Cut</p>
<p data-start=""1134"" data-end=""1176""><strong data-start=""1134"" data-end=""1152"">Certification:</strong> IGI Certified Diamond</p>
<p data-start=""1179"" data-end=""1213""><strong data-start=""1179"" data-end=""1192"">Includes:</strong> Pendant with Chain</p>
<p data-start=""1215"" data-end=""1317"">✨ Perfect for anniversaries, weddings, or gifting someone special. Designed to shine for a lifetime.</p>",Surat Diamond,Apparel & Accessories > Jewelry > Charms & Pendants,"","",true,Metal,rose-gold,product.metafields.shopify.color-pattern,Carat,3,,,,,,0.0,shopify,10,deny,manual,1200.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0921/1261/7815/files/8.818.png?v=1760585946,1,"",false,,,,,,,,,,,,,,,,adults,,rose-gold; yellow-gold; silver,,gold; diamond,fine-jewelry,,,,female,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/8.819.png?v=1760585946,g,,,active
